PC1,PC2,PC3,cohorte,tipo,grupo
-63.18874,-32.71902,-50.912827,BRCA,tumor,tumor_BRCA
-43.147297,-44.279408,-65.25601,BRCA,tumor,tumor_BRCA
-72.36526,6.925092,-38.61643,BRCA,tumor,tumor_BRCA
-60.014805,-18.311083,-51.281105,BRCA,tumor,tumor_BRCA
-14.352153,-66.15466,-68.95426,BRCA,tumor,tumor_BRCA
-34.915688,-41.35816,-64.1497,BRCA,tumor,tumor_BRCA
-51.81452,1.5014063,-59.8869,BRCA,tumor,tumor_BRCA
-59.56019,-34.7384,-54.583004,BRCA,tumor,tumor_BRCA
-61.344944,13.958822,-73.85217,BRCA,tumor,tumor_BRCA
-50.7609,-51.303146,-51.713264,BRCA,tumor,tumor_BRCA
-47.947395,-23.752882,-60.101967,BRCA,tumor,tumor_BRCA
-53.51912,-24.41326,-65.709854,BRCA,tumor,tumor_BRCA
-67.88421,-0.3487664,-58.8565,BRCA,tumor,tumor_BRCA
-19.4792,-81.17406,-42.796383,BRCA,tumor,tumor_BRCA
-67.455696,10.2460985,-44.802303,BRCA,tumor,tumor_BRCA
-21.815308,47.382492,-66.82922,BRCA,tumor,tumor_BRCA
-47.7386,-26.663645,-72.124016,BRCA,tumor,tumor_BRCA
-59.140255,-14.797286,-44.03237,BRCA,tumor,tumor_BRCA
-49.419327,-22.986084,-54.269974,BRCA,tumor,tumor_BRCA
-29.432217,-2.173516,-54.719513,BRCA,tumor,tumor_BRCA
-63.480053,-17.041948,-54.49113,BRCA,tumor,tumor_BRCA
-73.69692,-31.035662,-44.2735,BRCA,tumor,tumor_BRCA
-62.3344,-1.209564,-56.490803,BRCA,tumor,tumor_BRCA
-66.93601,38.0774,-41.678623,BRCA,tumor,tumor_BRCA
-13.553869,-35.0596,-72.01125,BRCA,tumor,tumor_BRCA
-55.613396,-8.602467,-56.24097,BRCA,tumor,tumor_BRCA
-73.11077,14.881353,-24.940817,BRCA,tumor,tumor_BRCA
-77.08057,2.3574035,-63.824883,BRCA,tumor,tumor_BRCA
-44.59465,-17.451765,-64.06127,BRCA,tumor,tumor_BRCA
-43.39006,-45.419178,-59.67276,BRCA,tumor,tumor_BRCA
-54.548717,-32.572025,-52.437325,BRCA,tumor,tumor_BRCA
-58.621502,27.603622,-46.787262,BRCA,tumor,tumor_BRCA
-52.58759,9.206177,-47.083374,BRCA,tumor,tumor_BRCA
-56.631977,20.739096,-54.623177,BRCA,tumor,tumor_BRCA
-28.897474,3.598586,-77.213905,BRCA,tumor,tumor_BRCA
-53.146217,-8.452551,-63.33877,BRCA,tumor,tumor_BRCA
-43.053608,-25.690832,-66.97119,BRCA,tumor,tumor_BRCA
-79.47291,-8.991407,-43.211994,BRCA,tumor,tumor_BRCA
-62.28547,11.095174,-12.074749,BRCA,tumor,tumor_BRCA
-47.57124,-29.109797,-60.531013,BRCA,tumor,tumor_BRCA
-58.38176,-21.7793,-33.68253,BRCA,tumor,tumor_BRCA
-50.120476,-26.64601,-62.216717,BRCA,tumor,tumor_BRCA
-7.4700837,-21.474783,-76.57197,BRCA,tumor,tumor_BRCA
-43.332516,27.28809,-49.5263,BRCA,tumor,tumor_BRCA
-63.816895,-37.734383,-46.208946,BRCA,tumor,tumor_BRCA
-31.843052,-38.045143,-71.59045,BRCA,tumor,tumor_BRCA
-41.959568,12.290307,-73.7968,BRCA,tumor,tumor_BRCA
-37.938454,-38.298843,-62.315453,BRCA,tumor,tumor_BRCA
-59.766613,5.435928,-61.02852,BRCA,tumor,tumor_BRCA
-47.625206,-31.395979,-24.990633,BRCA,tumor,tumor_BRCA
-10.636738,-40.322567,-85.14743,BRCA,tumor,tumor_BRCA
-55.705067,-1.6720566,-59.27071,BRCA,tumor,tumor_BRCA
-33.230022,-14.252001,-83.5215,BRCA,tumor,tumor_BRCA
-59.054768,-43.220024,-54.93484,BRCA,tumor,tumor_BRCA
-38.145786,37.323414,-49.746235,BRCA,tumor,tumor_BRCA
-27.497942,-68.72508,-55.062325,BRCA,tumor,tumor_BRCA
-57.83031,2.5221105,-66.355064,BRCA,tumor,tumor_BRCA
-56.364746,-11.950454,-61.67346,BRCA,tumor,tumor_BRCA
-44.800438,-42.978138,-51.090843,BRCA,tumor,tumor_BRCA
-66.1331,-3.3711884,-30.23342,BRCA,tumor,tumor_BRCA
-53.323586,-6.7496266,-56.143833,BRCA,tumor,tumor_BRCA
-51.535667,25.322157,-56.03665,BRCA,tumor,tumor_BRCA
-71.652054,46.939133,-45.656574,BRCA,tumor,tumor_BRCA
-64.20135,3.1835852,-61.86799,BRCA,tumor,tumor_BRCA
-62.823334,8.180573,-41.25021,BRCA,tumor,tumor_BRCA
-45.563194,-4.6789846,-38.35893,BRCA,tumor,tumor_BRCA
-41.188896,35.426014,-66.03331,BRCA,tumor,tumor_BRCA
-41.36265,-31.143408,-58.145996,BRCA,tumor,tumor_BRCA
-60.927544,-13.316082,-54.572536,BRCA,tumor,tumor_BRCA
-72.18046,33.251846,-23.715193,BRCA,tumor,tumor_BRCA
-31.340395,-53.4605,-68.440834,BRCA,tumor,tumor_BRCA
-53.699966,1.1817654,-63.52642,BRCA,tumor,tumor_BRCA
-44.313995,-14.796526,-79.31131,BRCA,tumor,tumor_BRCA
-51.178833,-26.715212,-62.801235,BRCA,tumor,tumor_BRCA
-60.521534,-5.0283256,-20.77439,BRCA,tumor,tumor_BRCA
-44.51157,-7.1223865,-36.485367,BRCA,tumor,tumor_BRCA
-25.103176,-59.121094,-64.78574,BRCA,tumor,tumor_BRCA
-38.918823,-7.2820477,-68.14702,BRCA,tumor,tumor_BRCA
-41.98573,28.865679,-59.78564,BRCA,tumor,tumor_BRCA
-74.26641,37.162624,-11.968799,BRCA,tumor,tumor_BRCA
-44.5921,-35.356247,-59.887146,BRCA,tumor,tumor_BRCA
-35.884266,-12.903249,-51.038456,BRCA,tumor,tumor_BRCA
-60.479237,-6.190568,-27.77794,BRCA,tumor,tumor_BRCA
-52.01256,32.54572,-48.123405,BRCA,tumor,tumor_BRCA
-34.193764,-3.1519454,-65.03385,BRCA,tumor,tumor_BRCA
-75.48642,6.0927596,-52.610893,BRCA,tumor,tumor_BRCA
-31.861115,-43.783638,-66.451096,BRCA,tumor,tumor_BRCA
-13.918397,13.974332,-80.75041,BRCA,tumor,tumor_BRCA
-73.374405,48.309975,-37.784386,BRCA,tumor,tumor_BRCA
-46.860767,-20.43382,-53.894295,BRCA,tumor,tumor_BRCA
